name,real_label,prob
1r3k_B_A_C_ag>1r3k_B_A_C_ab,1,1
2ez0_C_D_A_ag>2ez0_C_D_A_ab,1,1
2ht4_C_D_A_ag>2ht4_C_D_A_ab,1,1
2htl_E_F_B_ag>2htl_E_F_B_ab,1,1
3stl_A_B_C_ag>3stl_A_B_C_ab,1,1
4kk9_E_F_B_ag>4kk9_E_F_B_ab,1,1
4kkl_C_D_A_ag>4kkl_C_D_A_ab,1,1
5ebl_A_B_C_ag>5ebl_A_B_C_ab,1,1
6ad7_E_F_B_ag>6ad7_E_F_B_ab,1,1
6nf2_E_F_G_ag>6nf2_E_F_G_ab,1,1
6nfv_A_B_C_ag>6nfv_A_B_C_ab,1,1
7cvs_E_F_B_ag>7cvs_E_F_B_ab,1,1
7cvt_E_F_B_ag>7cvt_E_F_B_ab,1,1
7q9g_E_F_B_ag>7q9g_E_F_B_ab,1,0.999991935
1r3l_B_A_C_ag>1r3l_B_A_C_ab,1,0.999988718
1s5h_B_A_C_ag>1s5h_B_A_C_ab,1,0.999988718
1zwi_A_B_C_ag>1zwi_A_B_C_ab,1,0.999988718
2dwe_A_B_C_ag>2dwe_A_B_C_ab,1,0.999988718
2h8p_A_B_C_ag>2h8p_A_B_C_ab,1,0.999988718
2hfe_A_B_C_ag>2hfe_A_B_C_ab,1,0.999988718
2jk5_A_B_C_ag>2jk5_A_B_C_ab,1,0.999988718
3or6_A_B_C_ag>3or6_A_B_C_ab,1,0.999988718
7m2j_A_B_C_ag>7m2j_A_B_C_ab,1,0.999988718
1r3j_B_A_C_ag>1r3j_B_A_C_ab,1,0.999982718
6pa0_A_B_C_ag>6pa0_A_B_C_ab,1,0.999982718
4mqx_C_D_A_ag>4mqx_C_D_A_ab,1,0.999974937
3det_E_F_B_ag>3det_E_F_B_ab,1,0.999963181
7lsf_H_L_E_ag>7lsf_H_L_E_ab,1,0.999957376
4z7n_E_F_C_ag>4z7n_E_F_C_ab,1,0.999939649
1ots_C_D_A_ag>1ots_C_D_A_ab,1,0.999938118
2fec_J_O_A_ag>2fec_J_O_A_ab,1,0.999938118
2ht2_C_D_A_ag>2ht2_C_D_A_ab,1,0.999938118
4kk8_C_D_A_ag>4kk8_C_D_A_ab,1,0.999938118
4kk9_C_D_A_ag>4kk9_C_D_A_ab,1,0.999938118
6k5d_C_D_A_ag>6k5d_C_D_A_ab,1,0.999938118
3ri5_F_N_B_ag>3ri5_F_N_B_ab,1,0.999935566
6elu_B_C_A_ag>6elu_B_C_A_ab,1,0.9999
4aei_I_M_B_ag>4aei_I_M_B_ab,1,0.999872325
3fb7_A_B_C_ag>3fb7_A_B_C_ab,1,0.999832256
5w9i_C_D_A_ag>5w9i_C_D_A_ab,1,0.999820927
6s8i_H_L_A_ag>6s8i_H_L_A_ab,1,0.999722222
5nhr_H_L_C_ag>5nhr_H_L_C_ab,1,0.999520833
7cwu_P_I_C_ag>7cwu_P_I_C_ab,1,0.999493201
7ps6_H_L_E_ag>7ps6_H_L_E_ab,1,0.999444315
7a5s_H_L_A_ag>7a5s_H_L_A_ab,1,0.999085516
4msw_A_B_C_ag>4msw_A_B_C_ab,1,0.998932256
6nf2_C_D_G_ag>6nf2_C_D_G_ab,1,0.998429167
6vmj_M_L_W_ag>6vmj_M_L_W_ab,1,0.9980875
6yor_B_C_A_ag>6yor_B_C_A_ab,1,0.996833532
4tnv_F_N_B_ag>4tnv_F_N_B_ab,1,0.993727381
7cwu_N_G_B_ag>7cwu_N_G_B_ab,1,0.991965189
7kfb_G_J_A_ag>7kfb_G_J_A_ab,1,0.987157143
6mb3_A_K_E_ag>6mb3_A_K_E_ab,1,0.976333333
7cwn_G_F_A_ag>7cwn_G_F_A_ab,1,0.969398647
7lj4_E_D_A_ag>7lj4_E_D_A_ab,1,0.968333333
6vmk_c_b_d_ag>6vmk_c_b_d_ab,1,0.9635
7eam_C_D_B_ag>7eam_C_D_B_ab,1,0.959069246
2dqh_H_L_Y_ag>2dqh_H_L_Y_ab,1,0.95783125
7n5h_H_L_A_ag>7n5h_H_L_A_ab,1,0.956177778
7m2i_A_B_C_ag>7m2i_A_B_C_ab,1,0.945
4wfe_G_F_B_ag>4wfe_G_F_B_ab,1,0.943028571
4ene_C_D_A_ag>4ene_C_D_A_ab,1,0.938373895
7cvt_C_D_A_ag>7cvt_C_D_A_ab,1,0.935333333
3f7y_A_B_C_ag>3f7y_A_B_C_ab,1,0.925833248
6njm_L_K_B_ag>6njm_L_K_B_ab,1,0.92582381
2nxz_D_C_A_ag>2nxz_D_C_A_ab,1,0.924934111
6mhg_G_S_E_ag>6mhg_G_S_E_ab,1,0.920375
1g7j_B_A_C_ag>1g7j_B_A_C_ab,1,0.916176377
4fg6_E_F_B_ag>4fg6_E_F_B_ab,1,0.915490873
5j9p_A_B_C_ag>5j9p_A_B_C_ab,1,0.911379365
6osy_C_D_B_ag>6osy_C_D_B_ab,1,0.909646825
3nh7_I_M_B_ag>3nh7_I_M_B_ab,1,0.90659331
3t3p_E_F_C_ag>3t3p_E_F_C_ab,1,0.904967353
4xnq_H_L_C_ag>4xnq_H_L_C_ab,1,0.901728693
4tnv_Y_g_T_ag>4tnv_Y_g_T_ab,1,0.894052976
3rhw_H_L_A_ag>3rhw_H_L_A_ab,1,0.889349937
5u7m_H_L_G_ag>5u7m_H_L_G_ab,1,0.88903558
3rif_J_M_E_ag>3rif_J_M_E_ab,1,0.88675
5w9n_B_C_A_ag>5w9n_B_C_A_ab,1,0.883566667
1kip_B_A_C_ag>1kip_B_A_C_ab,1,0.882845028
