del,score,
5%,0.8614,
5%,0.8613,
5%,0.8617,
5%,0.861,
5%,0.862,
10%,0.8489,
10%,0.8419,
10%,0.8472,
10%,0.8459,
10%,0.8427,
15%,0.8345,
15%,0.8349,
15%,0.8374,
15%,0.8327,
15%,0.8405,
20%,0.8211,
20%,0.8165,
20%,0.8195,
20%,0.8255,
20%,0.8167,
25%,0.8006,
25%,0.8032,
25%,0.7976,
25%,0.8025,
25%,0.8041,
30%,0.7866,
30%,0.7801,
30%,0.7767,
30%,0.7857,
30%,0.7849,
35%,0.758,
35%,0.7591,
35%,0.7621,
35%,0.7542,
35%,0.7695,
40%,0.7358,
40%,0.7465,
40%,0.7398,
40%,0.7305,
40%,0.7387,
45%,0.7144,
45%,0.7095,
45%,0.7071,
45%,0.7174,
45%,0.714,
50%,0.6862,
50%,0.6754,
50%,0.6762,
50%,0.6728,
50%,0.6707,
