CDR Similarity to the native antibody	SESA Score Interval
1.0	0.9~1.0
0.982	0.9~1.0
0.965	0.8~0.9
0.947	0.8~0.9
0.93	0.8~0.9
0.93	0.7~0.8
0.93	0.7~0.8
0.93	0.7~0.8
0.947	0.7~0.8
0.93	0.7~0.8
0.947	0.7~0.8
0.912	0.7~0.8
0.93	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.947	0.7~0.8
0.93	0.7~0.8
0.93	0.7~0.8
0.93	0.7~0.8
0.93	0.7~0.8
0.93	0.7~0.8
0.93	0.7~0.8
0.912	0.7~0.8
0.947	0.7~0.8
0.93	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.93	0.7~0.8
0.947	0.7~0.8
0.947	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.93	0.7~0.8
0.93	0.7~0.8
0.912	0.7~0.8
0.93	0.7~0.8
0.895	0.7~0.8
0.912	0.7~0.8
0.93	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.895	0.7~0.8
0.93	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.93	0.7~0.8
0.895	0.7~0.8
0.93	0.7~0.8
0.895	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.93	0.7~0.8
0.895	0.7~0.8
0.912	0.7~0.8
0.895	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.93	0.7~0.8
0.895	0.7~0.8
0.93	0.7~0.8
0.93	0.7~0.8
0.93	0.7~0.8
0.817	0.7~0.8
0.93	0.7~0.8
0.895	0.7~0.8
0.93	0.7~0.8
0.895	0.7~0.8
0.895	0.7~0.8
0.842	0.7~0.8
0.895	0.7~0.8
0.912	0.7~0.8
0.912	0.7~0.8
0.895	0.7~0.8
0.912	0.7~0.8
0.895	0.6~0.7
0.93	0.6~0.7
0.877	0.6~0.7
0.877	0.6~0.7
0.912	0.6~0.7
0.877	0.6~0.7
0.912	0.6~0.7
0.877	0.6~0.7
0.895	0.6~0.7
0.842	0.6~0.7
0.877	0.6~0.7
0.912	0.6~0.7
0.895	0.6~0.7
0.895	0.6~0.7
0.877	0.6~0.7
0.895	0.6~0.7
0.93	0.6~0.7
0.86	0.6~0.7
0.895	0.6~0.7
0.895	0.6~0.7
0.877	0.6~0.7
0.86	0.6~0.7
0.895	0.6~0.7
0.912	0.6~0.7
0.912	0.6~0.7
0.879	0.6~0.7
0.912	0.6~0.7
0.895	0.6~0.7
0.895	0.6~0.7
0.912	0.6~0.7
0.895	0.6~0.7
0.86	0.6~0.7
0.895	0.6~0.7
0.8	0.6~0.7
0.877	0.6~0.7
0.877	0.6~0.7
0.877	0.6~0.7
0.912	0.6~0.7
0.912	0.6~0.7
0.93	0.6~0.7
0.877	0.6~0.7
0.895	0.6~0.7
0.825	0.6~0.7
0.86	0.6~0.7
