Virus,OD450 Concentration,Repeat 1,Repeat 2
MERS-CoV,100,0.030375,0.031375
MERS-CoV,33.333333,0.008375,0.013375
MERS-CoV,11.111111,0.003375,0.001375
MERS-CoV,3.703704,0.000375,-0.001625
MERS-CoV,1.234568,-0.001625,-0.002625
MERS-CoV,0.411523,-0.000625,-0.001625
MERS-CoV,0.137174,-0.001625,0.067375
MERS-CoV,0.045725,0.002375,-0.000625
SARS-CoV,100,1.6225,1.6765
SARS-CoV,33.333333,1.7165,1.7285
SARS-CoV,11.111111,1.7135,1.6115
SARS-CoV,3.703704,1.6255,1.5785
SARS-CoV,1.234568,1.5755,1.6165
SARS-CoV,0.411523,1.5715,1.6325
SARS-CoV,0.137174,1.4055,1.3145
SARS-CoV,0.045725,1.0945,1.0895
SARS-CoV-2,100,1.66475,1.57475
SARS-CoV-2,33.333333,1.52575,1.59375
SARS-CoV-2,11.111111,1.41375,1.38875
SARS-CoV-2,3.703704,1.45875,1.38975
SARS-CoV-2,1.234568,1.40175,1.39775
SARS-CoV-2,0.411523,1.35575,1.61575
SARS-CoV-2,0.137174,1.20475,1.20475
SARS-CoV-2,0.045725,0.91775,0.85875
